AreaID,AnalysisAreaName
0,American Fork - AMERICAN FORK CRT NC
1,American Fork - Meadows
2,American Fork - Timpanogos
3,Bluffdale - Downtown Riverton
4,Bluffdale - Herriman Porter Rockwell Center
5,Bluffdale - Independence
6,Bluffdale - Prison Site
7,Bountiful - 1100 North Center
8,Bountiful - Bountiful 200 West
9,Bountiful - Bountiful Downtown
10,Brigham City - Brigham City Forest Street
11,Brigham City - Brigham City Main Street
12,Centerville - Parrish Lane Center
13,Clearfield - CLEARFIELD CRT NC
14,Clearfield - Downtown Clearfield
15,Clearfield - East Antelope Center
16,Clearfield - Layton Midtown
17,Clearfield - Sunset SR 126
18,Clearfield - Syracuse SR 193 Center
19,Clinton - West Point 2000 West
20,Cottonwood Heights - Butler Park Center
21,Cottonwood Heights - Cottonwood Heights Fort Union
22,Cottonwood Heights - Cottonwood Heights Highland Drive
23,Cottonwood Heights - Old Mill
24,Cottonwood Heights - Union Park
25,Draper - CRESCENT VIEW LRT NC
26,Draper - Draper City Center
27,Draper - DRAPER CRT NC
28,Draper - DRAPER TOWN CENTER LRT NC
29,Draper - Highline
30,Draper - Independence
31,Draper - KIMBALLS LANE LRT NC
32,Draper - Prison Site
33,Draper - The Cairns
34,Draper - Vista Station
35,Eagle Mountain - Eagle Mountain
36,Farmington - East Park Lane
37,Farmington - FARMINGTON CRT NC
38,Farmington - Station Park/North Station
39,Harrisville - Five Points
40,Harrisville - Harrisville US 89
41,Harrisville - Harrisville Washington Boulevard
42,Heber City - Heber Main Street
43,Herriman - Herriman Olympia Hills
44,Herriman - Herriman Porter Rockwell Center
45,Herriman - Herriman Town
46,Holladay - Holladay Town Center
47,Holladay - Old Mill
48,Kaysville - Station Park/North Station
49,KEARNS METRO TOWNSHIP - Kearns City Center
50,Layton - Downtown Clearfield
51,Layton - East Antelope Center
52,Layton - LAYTON CRT NC
53,Layton - Layton Downtown
54,Layton - Layton Main Street
55,Layton - Layton Midtown
56,Lehi - Crossroads
57,Lehi - LEHI CRT NC
58,Lehi - Meadows
59,Lehi - Thanksgiving Point
60,Lindon - Timpanogos
61,Marriott-Slaterville - Ogden 12th Street
62,Midvale - Bingham Junction
63,Midvale - BINGHAM JUNCTION LRT NC
64,"Midvale - HISTORIC GARDNER 
 LRT NC"
65,Midvale - Jordan Bluffs
66,Midvale - MIDVALE CENTER LRT NC
67,Midvale - MIDVALE FORT UNION LRT NC
68,Midvale - Midvale Main Street
69,Midvale - Union Park
70,Millcreek - Holladay Town Center
71,Millcreek - MEADOWBROOK LRT NC
72,Millcreek - Meadowbrook Station
73,Millcreek - Millcreek 3300 South
74,Millcreek - Millcreek City Center
75,"Millcreek - MURRAY NORTH 
 LRT NC"
76,Millcreek - Olympus Hills Center
77,Millcreek - State Street Center
78,Morgan - Morgan Main Street
79,Murray - Bingham Junction
80,"Murray - FASHION PLACE WEST 
 LRT NC"
81,Murray - Meadowbrook Station
82,Murray - Murray City Center
83,Murray - MURRAY CRT NC
84,"Murray - MURRAY NORTH 
 LRT NC"
85,Murray - State Street Center
86,Murray - Taylorsville Expressway Center
87,North Ogden - Harrisville Washington Boulevard
88,North Ogden - North Ogden Downtown
89,North Ogden - North Ogden Southtown
90,North Ogden - North View Center
91,North Ogden - Pleasant View 2700 North
92,North Salt Lake - 1100 North Center
93,North Salt Lake - North Salt Lake Town Center
94,Ogden - Five Points
95,Ogden - Harrisville US 89
96,Ogden - Harrisville Washington Boulevard
97,Ogden - Ogden 12th Street
98,Ogden - Ogden 25th Street
99,Ogden - Ogden Downtown
100,Ogden - Ogden Harrison Boulevard
101,Ogden - West Haven City Center
102,Ogden - West Ogden Center
103,Orem - Hillcrest
104,Orem - Orem-800 North
105,Orem - Orem-Center Street
106,Orem - OREM CENTRAL CRT NC
107,Orem - University Center
108,Orem - Vineyard
109,Park City - Kearns Boulevard Center
110,Park City - Park City Main Street
111,Payson - Payson Main Street
112,Pleasant Grove - Timpanogos
113,Pleasant View - Harrisville US 89
114,Pleasant View - Pleasant View 2700 North
115,Provo - Downtown Provo
116,Provo - Hillcrest
117,Provo - PROVO CENTRAL CRT NC
118,Riverdale - Ogden Downtown
119,Riverdale - Riverdale City Center
120,Riverdale - Roy Downtown
121,Riverton - Downtown Riverton
122,Riverton - Herriman Town
123,Riverton - Mountain View Village
124,Riverton - South Jordan Redwood Road
125,Roy - Midland Drive - 3500 West
126,Roy - Roy 1900 West
127,Roy - ROY CRT NC
128,Roy - Roy Downtown
129,Roy - Sunset SR 126
130,Roy - West Haven 4000 South
131,Roy - West Haven Midland Drive
132,Roy - West Roy Town Center
133,Salt Lake City - 1940 W NORTH TEMPLE LRT NC
134,Salt Lake City - 900 SOUTH LRT NC
135,Salt Lake City - AIRPORT LRT NC
136,Salt Lake City - Ballpark
137,Salt Lake City - BALLPARK LRT NC
138,Salt Lake City - CENTRAL POINTE LRT NC
139,Salt Lake City - Downtown South Salt Lake
140,Salt Lake City - JACKSON/EUCLID LRT NC
141,Salt Lake City - Millcreek City Center
142,Salt Lake City - NORTH TEMPLE BRIDGE/GUADALUPE CRT NC
143,Salt Lake City - North Temple Center
144,Salt Lake City - People's Freeway Center
145,Salt Lake City - POWER LRT NC
146,Salt Lake City - Salt Lake 900 West
147,Salt Lake City - Salt Lake City CBD
148,Salt Lake City - Salt Lake City East Downtown
149,Salt Lake City - STADIUM LRT NC
150,Salt Lake City - State Street Center
151,Salt Lake City - Sugarhouse
152,Salt Lake City - TROLLEY LRT NC
153,Salt Lake City - UNIVERSITY SOUTH CAMPUS LRT NC
154,Salt Lake City - West High Center
155,Sandy - CRESCENT VIEW LRT NC
156,"Sandy - HISTORIC SANDY 
 LRT NC"
157,Sandy - SANDY CIVIC CENTER LRT NC
158,Sandy - SANDY EXPO LRT NC
159,Sandy - The Cairns
160,Sandy - Union Park
161,Saratoga Springs - Crossroads
162,"South Jordan - 4800 W. OLD BINGHAM HWY 
 LRT NC"
163,South Jordan - 5600 W. OLD BINGHAM HWY LRT NC
164,South Jordan - Daybreak
165,South Jordan - SOUTH JORDAN CRT NC
166,South Jordan - SOUTH JORDAN PARKWAY LRT NC
167,South Jordan - South Jordan Redwood Road
168,South Jordan - The Cairns
169,South Ogden - Ogden Downtown
170,South Ogden - Skyline Center
171,South Ogden - Washington Terrace US 89
172,South Salt Lake - CENTRAL POINTE LRT NC
173,South Salt Lake - Downtown South Salt Lake
174,South Salt Lake - MEADOWBROOK LRT NC
175,South Salt Lake - Meadowbrook Station
176,South Salt Lake - MILLCREEK LRT NC
177,South Salt Lake - RIVER TRAIL LRT NC
178,South Salt Lake - State Street Center
179,Spanish Fork - North Park
180,Springville - Downtown Springville
181,Sunset - Sunset SR 126
182,Syracuse - Central Antelope Center
183,Syracuse - East Antelope Center
184,Syracuse - Rock Creek
185,Syracuse - Syracuse 2000 West - North
186,Syracuse - Syracuse 2000 West - South
187,Syracuse - Syracuse City Center
188,Syracuse - Syracuse SR 193 Center
189,Syracuse - West Antelope Center
190,Taylorsville - Kearns City Center
191,Taylorsville - Taylorsville Expressway Center
192,Taylorsville - West Valley/Taylorsville Redwood Road Center
193,Vineyard - Vineyard
194,West Bountiful - WOODS CROSS CRT NC
195,West Haven - Midland Drive - 3500 West
196,West Haven - West Haven 4000 South
197,West Haven - West Haven City Center
198,West Haven - West Haven Midland Drive
199,"West Jordan - 4800 W. OLD BINGHAM HWY 
 LRT NC"
200,West Jordan - 5600 W. OLD BINGHAM HWY LRT NC
201,West Jordan - Bingham Junction
202,"West Jordan - HISTORIC GARDNER 
 LRT NC"
203,West Jordan - Jordan Landing
204,West Jordan - Jordan Valley
205,"West Jordan - JORDAN VALLEY 
 LRT NC"
206,West Jordan - SUGAR FACTORY RD LRT NC
207,West Jordan - West Jordan City Center
208,West Jordan - WEST JORDAN CITY CENTER LRT NC
209,West Point - Rock Creek
210,West Point - Syracuse 2000 West - North
211,West Point - Syracuse SR 193 Center
212,West Point - West Point 2000 West
213,West Point - West Point SR 193 Center
214,West Valley City - 3500 South
215,West Valley City - DECKER LAKE LRT NC
216,West Valley City - Fairbourne Station
217,West Valley City - REDWOOD JUNCTION LRT NC
218,West Valley City - RIVER TRAIL LRT NC
219,West Valley City - West Valley 5600 West
220,West Valley City - WEST VALLEY CENTRAL LRT NC
221,West Valley City - WVC/Taylorsville Redwood Road Center
222,Woods Cross - 1100 North Center
223,Woods Cross - WOODS CROSS CRT NC
